ITEM_NO,HREF,TITLE,IMG_SRC,IMG_ALT,MODEL,PRODUCT_DESCRIPTION
10,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1220SP-BULLET.php,DH-HAC-HFW1220SP-BULLET-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HFW1220SP-BULLET.png,DH-HAC-HFW1220SP-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1220SP-BULLET,"@DH-HAC-HFW1220SP-BULLET<br/><br/>2Megapixel 1080P Water-proof HDCVI IR-Bullet@ 1/2.9"" 2Megapixel CMOS\n'@b'<br/>&#13;\n&#8226; 25/30fps@1080P~ 25/30/50/60fps@720P\n'@b'<br/>&#13;\n&#8226; High speed~ long distance real-time transmission\n'@b'<br/>&#13;\n&#8226; HD and SD switchable\n'@b'<br/>&#13;\n&#8226; OSD Menu~ control over coaxial cable\n'@b'<br/>&#13;\n&#8226; DWDR~ Day/Night(ICR)~ AWB~ AGC~ BLC~ 2DNR\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (2.8mm~ 6mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR LEDs length 30m~ Smart IR\n'@b'<br/>&#13;\n&#8226; IP67~ DC12V\t\n'"
12,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1220DP-BULLET.php,DH-HAC-HFW1220DP-BULLET-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HFW1220DP-BULLET.png,DH-HAC-HFW1220DP-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1220DP-BULLET,@DH-HAC-HFW1220DP-BULLET<br/><br/>2MP HDCVI IR BULLET CAMERA@ Max 30fps@1080P\n'@b'<br/>&#13;\n&#8226; HD and SD output switchable\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (6mm~ 8mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR length 80m~ Smart IR\n'@b'<br/>&#13;\n&#8226; IP67~ DC12V \t\n'
13,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-XVR5104HS-4CHANNEL.php,DH-XVR5104HS-4CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-DH-XVR5104HS-DVR.png,DH-XVR5104HS-4CHANNEL-Dahua-camera-in-Chennai,DH-XVR5104HS-4CHANNEL,@DH-XVR5104HS-4CHANNEL<br/><br/>DHI-XVR5104 4 CHANNEL PENTA-BRID 720P COMPACT 1U DIGITAL VIDEO RECORDER
14,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-XVR5108HS-8CHANNEL.php,DH-XVR5108HS-8CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-XVR5108HS-DVR.png,DH-XVR5108HS-8CHANNEL-Dahua-camera-in-Chennai,DH-XVR5108HS-8CHANNEL,@DH-XVR5108HS-8CHANNEL<br/><br/>DH-XVR5108HS-8CHANNEL
15,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-XVR5116HS-16CHANNEL.php,DH-XVR5116HS-16CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-XVR516HS-DVR.png,DH-XVR5116HS-16CHANNEL-Dahua-camera-in-Chennai,DH-XVR5116HS-16CHANNEL,@DH-XVR5116HS-16CHANNEL<br/><br/>DHI-XVR5116 16 CHANNEL PENTA-BRID 720P COMPACT 1U DIGITAL VIDEO RECORDER
16,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HDW1400RP-DOME.php,DH-HAC-HDW1400RP-DOME-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HDW1400RP-DOME.jpg,DH-HAC-HDW1400RP-DOME-Dahua-camera-in-Chennai,DH-HAC-HDW1400RP-DOME,@DH-HAC-HDW1400RP-DOME<br/><br/>4MP HDCVI IR Eyeball Camera
17,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1400RP-BULLET.php,DH-HAC-HFW1400RP-BULLET-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HFW1400RP-BULLET.png,DH-HAC-HFW1400RP-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1400RP-BULLET,@DH-HAC-HFW1400RP-BULLET<br/><br/>4MP HDCVI IR Bullet Camera
18,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HDW1400SP-DOME.php,DH-HAC-HDW1400SP-DOME-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HDW1400SP-DOME.png,DH-HAC-HDW1400SP-DOME-Dahua-camera-in-Chennai,DH-HAC-HDW1400SP-DOME,@DH-HAC-HDW1400SP-DOME<br/><br/>4MP HDCVI IR Eyeball Camera
19,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1400SP-BULLET.php,DH-HAC-HFW1400SP-BULLET-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HFW1400SP-BULLET.png,DH-HAC-HFW1400SP-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1400SP-BULLET,@DH-HAC-HFW1400SP-BULLET<br/><br/>4MP HDCVI IR Bullet Camera
20,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DHI-HCVR7104H-4M-04CHANNEL.php,DHI-HCVR7104H-4M-04CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DHI-HCVR7104H-4M-DVR.png,DHI-HCVR7104H-4M-04CHANNEL-Dahua-camera-in-Chennai,DHI-HCVR7104H-4M-04CHANNEL,@DHI-HCVR7104H-4M-04CHANNEL<br/><br/>DHI-HCVR7104H-4M 4 Channel 4MP Mini 1U Digital Video Recorder@Embedded processor\n'@b'<br/>&#13;\n&#8226;H.264+/H.264 dual-stream video compression\n'@b'<br/>&#13;\n&#8226;Support HDCVI/CVBS video inputs\n'@b'<br/>&#13;\n&#8226;Max 6/12/24 channels IP camera inputs~ each channel up to\n'@b'<br/>&#13;\n&#8226;Max 24/48/96Mbps Incoming Bandwidth\n'@b'<br/>&#13;\n&#8226;HDMI output up to 4K(3840x2160) resolution\n'@b'<br/>&#13;\n&#8226;Smart Search and Intelligent Video System\t\n'
21,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DHI-HCVR7108H-4M-08CHANNEL.php,DHI-HCVR7108H-4M-08CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DHI-HCVR7104H-4M-DVR.png,DHI-HCVR7108H-4M-08CHANNEL-Dahua-camera-in-Chennai,DHI-HCVR7108H-4M-08CHANNEL,@DHI-HCVR7108H-4M-08CHANNEL<br/><br/>DHI-HCVR7108H-4M 8 CHANNEL 4MP MINI 1U DIGITAL VIDEO RECORDER@Embedded processor\n'@b'<br/>&#13;\n&#8226;H.264+/H.264 dual-stream video compression\n'@b'<br/>&#13;\n&#8226;Support HDCVI/CVBS video inputs\n'@b'<br/>&#13;\n&#8226;Max 6/12/24 channels IP camera inputs~ each channel up to\n'@b'<br/>&#13;\n&#8226;Max 24/48/96Mbps Incoming Bandwidth\n'@b'<br/>&#13;\n&#8226;HDMI output up to 4K(3840x2160) resolution\n'@b'<br/>&#13;\n&#8226;Smart Search and Intelligent Video System\t\n'
22,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DHI-HCVR7116H-4M-16CHANNEL.php,DHI-HCVR7116H-4M-16CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DHI-HCVR7116H-4M-DVR.png,DHI-HCVR7116H-4M-16CHANNEL-Dahua-camera-in-Chennai,DHI-HCVR7116H-4M-16CHANNEL,@DHI-HCVR7116H-4M-16CHANNEL<br/><br/>DHI-HCVR7116H-4M 16 CHANNEL 4MP MINI 1U DIGITAL VIDEO RECORDER@Embedded processor\n'@b'<br/>&#13;\n&#8226;H.264+/H.264 dual-stream video compression\n'@b'<br/>&#13;\n&#8226;Support HDCVI/CVBS video inputs\n'@b'<br/>&#13;\n&#8226;Max 6/12/24 channels IP camera inputs~ each channel up to\n'@b'<br/>&#13;\n&#8226;Max 24/48/96Mbps Incoming Bandwidth\n'@b'<br/>&#13;\n&#8226;HDMI output up to 4K(3840x2160) resolution\n'@b'<br/>&#13;\n&#8226;Smart Search and Intelligent Video System\t\n'
23,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DHI-HCVR7216AN-4M-16CHANNEL.php,DHI-HCVR7216AN-4M-16CHANNEL-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DHI-HCVR7216AN-4M.png,DHI-HCVR7216AN-4M-16CHANNEL-Dahua-camera-in-Chennai,DHI-HCVR7216AN-4M-16CHANNEL,@DHI-HCVR7216AN-4M-16CHANNEL<br/><br/>4/8/16 Channel 4MP 1U Digital Video Recorder@Embedded processor\n'@b'<br/>&#13;\n&#8226;H.264+/H.264 dual-stream video compression\n'@b'<br/>&#13;\n&#8226;Support HDCVI/CVBS video inputs\n'@b'<br/>&#13;\n&#8226;Max 6/12/24 channels IP camera inputs~ each channel up to\n'@b'<br/>&#13;\n&#8226;Max 24/48/96Mbps Incoming Bandwidth\n'@b'<br/>&#13;\n&#8226;HDMI output up to 4K(3840x2160) resolution\n'@b'<br/>&#13;\n&#8226;Smart Search and Intelligent Video System\n'
